year,title,brand,mentions
2002,i did it my way lyrics,maybach,1
2002,i did it my way lyrics,maybach,1
2002,meet the parents lyrics,gucci,1
2002,meet the parents lyrics,gucci,1
2002,nigga please lyrics,nike,1
2002,nigga please lyrics,nike,1
2002,poppin tags lyrics,glock,2
2002,poppin tags lyrics,gucci,2
2002,poppin tags lyrics,glock,2
2002,poppin tags lyrics,gucci,2
2002,pussy lyrics,gucci,1
2002,pussy lyrics,gucci,1
2002,some how some way lyrics,glock,1
2002,some how some way lyrics,glock,1
2002,some people hate lyrics,maybach,1
2002,some people hate lyrics,maybach,1
2002,take you home with me aka body lyrics,lexus,1
2002,take you home with me aka body lyrics,nike,1
2002,take you home with me aka body lyrics,versace,1
2002,take you home with me aka body lyrics,lexus,1
2002,take you home with me aka body lyrics,nike,1
2002,take you home with me aka body lyrics,versace,1
2002,the watcher 2 lyrics,porsche,1
2002,the watcher 2 lyrics,porsche,1
2003,change clothes lyrics,maybach,1
2003,change clothes lyrics,maybach,1
2003,dirt off your shoulder lyrics,porsche,1
2003,dirt off your shoulder lyrics,porsche,1
2003,lucifer lyrics,maybach,1
2003,lucifer lyrics,maybach,1
2003,public service announcement lyrics,lexus,1
2003,public service announcement lyrics,lexus,1
2003,what more can i say lyrics,maybach,1
2003,what more can i say lyrics,maybach,1
2004,feelin you in stereo lyrics,maybach,1
2004,feelin you in stereo lyrics,maybach,1
2004,mo money lyrics,bentley,2
2004,mo money lyrics,maybach,1
2004,mo money lyrics,bentley,2
2004,mo money lyrics,maybach,1
2004,shes coming home with me lyrics,maybach,1
2004,shes coming home with me lyrics,maybach,1
2004,we got em goin lyrics,maybach,1
2004,we got em goin lyrics,maybach,1
2006,anything 2006 lyrics,maybach,1
2006,anything 2006 lyrics,maybach,1
2006,do u wanna ride lyrics,maybach,1
2006,do u wanna ride lyrics,maybach,1
2006,kingdom come lyrics,cristal,1
2006,kingdom come lyrics,cristal,1
2006,oh my god lyrics,gucci,2
2006,oh my god lyrics,gucci,2
2006,the prelude lyrics,glock,1
2006,the prelude lyrics,glock,1
2007,blue magic lyrics,gucci,2
2007,blue magic lyrics,gucci,2
2007,hello brooklyn 20 lyrics,lexus,1
2007,hello brooklyn 20 lyrics,lexus,1
2007,roc boys and the winner is lyrics,nike,1
2007,roc boys and the winner is lyrics,porsche,1
2007,roc boys and the winner is lyrics,nike,1
2007,roc boys and the winner is lyrics,porsche,1
2007,say hello lyrics,glock,1
2007,say hello lyrics,glock,1
2009,doa death of auto tune lyrics,versace,1
2009,doa death of auto tune lyrics,versace,1
2009,empire state of mind lyrics,lexus,1
2009,empire state of mind lyrics,lexus,1
2009,on to the next one lyrics,cristal,1
2009,on to the next one lyrics,lexus,1
2009,on to the next one lyrics,cristal,1
2009,on to the next one lyrics,lexus,1
2009,reminder lyrics,gucci,1
2009,reminder lyrics,gucci,1
2009,young forever lyrics,bentley,1
2009,young forever lyrics,bentley,1
2011,west murder to excellence lyrics,gucci,1
2011,west murder to excellence lyrics,gucci,1
2011,west niggas in paris lyrics,gucci,1
2011,west niggas in paris lyrics,gucci,1
2011,west otis lyrics,maybach,1
2011,west otis lyrics,maybach,1
2013,bbc lyrics,versace,2
2013,bbc lyrics,gucci,1
2013,bbc lyrics,maybach,1
2013,bbc lyrics,versace,2
2013,bbc lyrics,gucci,1
2013,bbc lyrics,maybach,1
2013,futw lyrics,maybach,1
2013,futw lyrics,maybach,1
2013,heaven lyrics,maybach,1
2013,heaven lyrics,maybach,1
2013,oceans lyrics,maybach,1
2013,oceans lyrics,maybach,1
2013,somewhereinamerica lyrics,lexus,1
2013,somewhereinamerica lyrics,lexus,1
